id,Task Name,List Name,Status,Priority,Tags,Story Points,Dependencies,Description,Custom Field: Sprint,Custom Field: Commitment
TB-002,Implementar endpoints agregados de dashboard com cache,Sprint 3 - Gestao e Relatorios,to do,high,"dashboard,backend,api",8,TB-001,"Endpoints com filtros globais e cache.",Sprint 3,Committed
TB-003,Construir tela dashboard gestor V1,Sprint 3 - Gestao e Relatorios,to do,high,"dashboard,frontend,ui",8,TB-002,"KPIs e graficos com drill-down.",Sprint 3,Committed
TB-022,Criar views de relatorios operacionais e comerciais,Sprint 3 - Gestao e Relatorios,to do,high,"reports,data,sql",8,TB-001,"Views de comparecimento no-show ocupacao e conversao.",Sprint 3,Committed
TB-023,Endpoints de relatorios com exportacao,Sprint 3 - Gestao e Relatorios,to do,high,"reports,backend,api",5,TB-022,"APIs para consulta e exportacao.",Sprint 3,Committed
TB-024,Implementar tela relatorios com drill down,Sprint 3 - Gestao e Relatorios,to do,high,"reports,frontend,ui",8,TB-023,"Graficos com detalhe filtrado.",Sprint 3,Committed
TB-033,Adicionar auditoria de exportacoes e acoes sensiveis,Sprint 3 - Gestao e Relatorios,to do,high,"cross,data,audit",5,None,"Auditar exportacoes e operacoes sensiveis.",Sprint 3,Committed
TB-034,Suite e2e de fluxos criticos operacionais,Sprint 3 - Gestao e Relatorios,to do,high,"cross,qa,e2e",8,"TB-006;TB-009;TB-015","Cobrir agenda CRM mensagens com cenarios de erro.",Sprint 3,Committed
TB-036,Teste de performance inicial dashboard e agenda,Sprint 3 - Gestao e Relatorios,to do,normal,"cross,qa,performance",5,"TB-003;TB-006","Medir latencia de carga e consultas pesadas.",Sprint 3,Committed
TB-016,Ajustar entidades de equipe e vinculo profile doctor,Post-MVP,to do,normal,"team,data,sql",5,None,"Modelagem de equipe para ciclo seguinte.",Post-MVP,Deferred
TB-017,APIs de convite ativacao e capacidade operacional,Post-MVP,to do,normal,"team,backend,api",5,TB-016,"Convite e capacidade para ciclo seguinte.",Post-MVP,Deferred
TB-018,Implementar tela equipe com filtros por role,Post-MVP,to do,normal,"team,frontend,ui",5,TB-017,"Tela equipe para ciclo seguinte.",Post-MVP,Deferred
TB-025,Modelar receita prevista realizada e inadimplencia,Post-MVP,to do,high,"financial,data,sql",8,None,"Base financeira para ciclo seguinte.",Post-MVP,Deferred
TB-026,APIs de fechamento ajustes e recebimento,Post-MVP,to do,high,"financial,backend,api",5,TB-025,"Fluxos financeiros para ciclo seguinte.",Post-MVP,Deferred
TB-027,Implementar tela financeiro V1,Post-MVP,to do,high,"financial,frontend,ui",8,TB-026,"Tela financeiro para ciclo seguinte.",Post-MVP,Deferred
TB-028,Parametrizar regras de agenda LGPD e templates,Post-MVP,to do,normal,"settings,data,sql",5,None,"Parametros por tenant para ciclo seguinte.",Post-MVP,Deferred
TB-029,Endpoints de configuracao versionada por tenant,Post-MVP,to do,normal,"settings,backend,api",5,TB-028,"APIs de configuracao para ciclo seguinte.",Post-MVP,Deferred
TB-030,Implementar tela configuracoes por secao,Post-MVP,to do,normal,"settings,frontend,ui",5,TB-029,"Tela configuracoes para ciclo seguinte.",Post-MVP,Deferred
TB-032,Instrumentar telemetria de uso por widget e tela,Post-MVP,to do,normal,"cross,backend,analytics",5,None,"Telemetria de uso para ciclo seguinte.",Post-MVP,Deferred
