Issue ID,Summary,Issue Type,Sprint,Priority,Story Points,Epic Name,Labels,Linked Issues,Description
TB-036,Teste de performance inicial dashboard e agenda,Task,Sprint 3 - Gestao e Relatorios,Medium,5,Cross,"cross,qa,performance","TB-003;TB-006","Medir latencia de carga e consultas pesadas."
TB-016,Ajustar entidades de equipe e vinculo profile doctor,Story,Post-MVP,Medium,5,Equipe,"team,data,sql",None,"Modelagem de equipe para ciclo seguinte."
TB-017,APIs de convite ativacao e capacidade operacional,Story,Post-MVP,Medium,5,Equipe,"team,backend,api",TB-016,"Convite e capacidade para ciclo seguinte."
TB-018,Implementar tela equipe com filtros por role,Story,Post-MVP,Medium,5,Equipe,"team,frontend,ui",TB-017,"Tela equipe para ciclo seguinte."
TB-025,Modelar receita prevista realizada e inadimplencia,Story,Post-MVP,High,8,Financeiro,"financial,data,sql",None,"Base financeira para ciclo seguinte."
TB-026,APIs de fechamento ajustes e recebimento,Story,Post-MVP,High,5,Financeiro,"financial,backend,api",TB-025,"Fluxos financeiros para ciclo seguinte."
TB-027,Implementar tela financeiro V1,Story,Post-MVP,High,8,Financeiro,"financial,frontend,ui",TB-026,"Tela financeiro para ciclo seguinte."
TB-028,Parametrizar regras de agenda LGPD e templates,Story,Post-MVP,Medium,5,Configuracoes,"settings,data,sql",None,"Parametros por tenant para ciclo seguinte."
TB-029,Endpoints de configuracao versionada por tenant,Story,Post-MVP,Medium,5,Configuracoes,"settings,backend,api",TB-028,"APIs de configuracao para ciclo seguinte."
TB-030,Implementar tela configuracoes por secao,Story,Post-MVP,Medium,5,Configuracoes,"settings,frontend,ui",TB-029,"Tela configuracoes para ciclo seguinte."
TB-032,Instrumentar telemetria de uso por widget e tela,Task,Post-MVP,Medium,5,Cross,"cross,backend,analytics",None,"Telemetria de uso para ciclo seguinte."
